Rooms
Monday,9:00-10:00,CS_Lab_7_library,CS_lab_10_behind_CH,CS_lab_1_near_bank,CS_Lab_5_near_bank,RVU301,RVU305
,10:00-11:00,CS_Lab_7_library,CS_lab_10_behind_CH,CS_lab_1_near_bank,CS_Lab_5_near_bank,RVU301,RVU305,CE_304,RVU102,RVU103
,11:30-12:30,CS_Lab_7_library,CS_Lab_8_library,CS_lab_10_behind_CH,CS_Lab_5_near_bank,RVU303,RVU101,CE_304,RVU102,RVU103
,12:30-1:30,CS_Lab_7_library,CS_Lab_8_library,CS_lab_10_behind_CH,CS_Lab_5_near_bank,RVU302,RVU303,RVU304,RVU101,CE_304,RVU102,RVU103
,2:30-3:30,CS_Lab_8_library,CS_lab_10_behind_CH,CS_lab_9_behind_CH,CS_lab_1_near_bank,CS_lab_2_near_bank,CS_Lab_5_near_bank,CS_Lab_6_near_bank,RVU301,RVU302,RVU303,RVU304,RVU101,RVU305,CE_304,RVU102,RVU103
,3:30-4:30,CS_Lab_8_library,CS_lab_10_behind_CH,CS_lab_9_behind_CH,CS_lab_1_near_bank,CS_lab_2_near_bank,CS_Lab_5_near_bank,CS_Lab_6_near_bank,RVU301,RVU302,RVU303,RVU304,RVU101,RVU305,CE_304,RVU102,RVU103
Tuesday,9:00-10:00,CS_Lab_7_library,CS_Lab_8_library,CS_lab_10_behind_CH,CS_lab_9_behind_CH,CS_lab_1_near_bank,CS_lab_2_near_bank,CS_lab_3_near_bank,CS_lab_4_near_bank,CS_Lab_5_near_bank,CS_Lab_6_near_bank
,10:00-11:00,CS_Lab_7_library,CS_Lab_8_library,CS_lab_10_behind_CH,CS_lab_9_behind_CH,CS_lab_1_near_bank,CS_lab_2_near_bank,CS_lab_3_near_bank,CS_lab_4_near_bank,CS_Lab_5_near_bank,CS_Lab_6_near_bank,RVU301,RVU302,RVU303,RVU304,RVU101,RVU305
,11:30-12:30,CS_Lab_7_library,CS_Lab_8_library,CS_lab_10_behind_CH,CS_lab_9_behind_CH,CS_lab_1_near_bank,CS_lab_2_near_bank,CS_lab_3_near_bank,RVU102
,12:30-1:30,CS_Lab_7_library,CS_Lab_8_library,CS_lab_10_behind_CH,CS_lab_9_behind_CH,CS_lab_1_near_bank,CS_lab_2_near_bank,CS_lab_3_near_bank,RVU302,RVU101,RVU305,RVU102,RVU103
,2:30-3:30,CS_Lab_8_library,CS_lab_10_behind_CH,CS_lab_9_behind_CH,CS_lab_1_near_bank,CS_lab_2_near_bank,CS_Lab_5_near_bank,CS_Lab_6_near_bank,RVU301,RVU302,RVU303,RVU304,RVU101,RVU305,CE_304,RVU102,RVU103
,3:30-4:30,CS_Lab_8_library,CS_lab_10_behind_CH,CS_lab_9_behind_CH,CS_lab_1_near_bank,CS_lab_2_near_bank,CS_Lab_5_near_bank,CS_Lab_6_near_bank,RVU301,RVU302,RVU303,RVU304,RVU101,RVU305,CE_304,RVU102,RVU103
Wednesday,9:00-10:00,CS_Lab_7_library,CS_lab_10_behind_CH,CS_lab_9_behind_CH,CS_lab_1_near_bank,CS_lab_2_near_bank,CS_Lab_5_near_bank,CS_Lab_6_near_bank,RVU304,CE_304,RVU102,RVU103
,10:00-11:00,CS_Lab_7_library,CS_lab_10_behind_CH,CS_lab_9_behind_CH,CS_lab_1_near_bank,CS_lab_2_near_bank,CS_Lab_5_near_bank,CS_Lab_6_near_bank,RVU304,CE_304,RVU102,RVU103
,11:30-12:30,CS_Lab_7_library,CS_Lab_8_library,CS_lab_10_behind_CH,CS_lab_1_near_bank,RVU303,RVU101
,12:30-1:30,CS_Lab_7_library,CS_Lab_8_library,CS_lab_10_behind_CH,CS_lab_1_near_bank,RVU301,RVU302,RVU303,RVU101,RVU102
,2:30-3:30,CS_lab_10_behind_CH,CS_lab_9_behind_CH,CS_lab_3_near_bank,CS_lab_4_near_bank,RVU301,RVU302,RVU303,RVU304,RVU101,RVU305,CE_304,RVU102,RVU103
,3:30-4:30,CS_lab_10_behind_CH,CS_lab_9_behind_CH,CS_lab_3_near_bank,CS_lab_4_near_bank,RVU301,RVU302,RVU303,RVU304,RVU101,RVU305,CE_304,RVU102,RVU103
Thursday,9:00-10:00,CS_Lab_7_library,CS_lab_10_behind_CH,CS_lab_2_near_bank,CS_lab_3_near_bank,RVU304,CE_304,RVU103
,10:00-11:00,CS_Lab_7_library,CS_lab_10_behind_CH,CS_lab_2_near_bank,CS_lab_3_near_bank,RVU304,CE_304
,11:30-12:30,CS_Lab_8_library,CS_lab_1_near_bank,CS_lab_2_near_bank,CS_lab_4_near_bank,RVU302,RVU103
,12:30-1:30,CS_Lab_8_library,CS_lab_1_near_bank,CS_lab_2_near_bank,CS_lab_4_near_bank,RVU301,RVU302,RVU303,RVU304,CE_304,RVU102,RVU103
,2:30-3:30,CS_Lab_7_library,CS_Lab_8_library,CS_lab_10_behind_CH,CS_lab_9_behind_CH,CS_lab_1_near_bank,CS_lab_2_near_bank,CS_lab_3_near_bank,CS_lab_4_near_bank,CS_Lab_5_near_bank,CS_Lab_6_near_bank,RVU301,RVU302,RVU303,RVU101,RVU305,CE_304,RVU102,RVU103
,3:30-4:30,CS_Lab_7_library,CS_Lab_8_library,CS_lab_10_behind_CH,CS_lab_9_behind_CH,CS_lab_1_near_bank,CS_lab_2_near_bank,CS_lab_3_near_bank,CS_lab_4_near_bank,CS_Lab_5_near_bank,CS_Lab_6_near_bank,RVU301,RVU302,RVU303,RVU304,RVU101,RVU305,CE_304,RVU102,RVU103
Friday,9:00-10:00,CS_Lab_7_library,CS_Lab_8_library,CS_lab_10_behind_CH,CS_lab_9_behind_CH,CS_lab_1_near_bank,CS_lab_2_near_bank,CS_lab_3_near_bank,CS_lab_4_near_bank,CS_Lab_5_near_bank,CS_Lab_6_near_bank
,10:00-11:00,CS_Lab_7_library,CS_Lab_8_library,CS_lab_10_behind_CH,CS_lab_9_behind_CH,CS_lab_1_near_bank,CS_lab_2_near_bank,CS_lab_3_near_bank,CS_lab_4_near_bank,CS_Lab_5_near_bank,CS_Lab_6_near_bank,CE_304,RVU102,RVU103
,11:30-12:30,CS_Lab_7_library,CS_Lab_8_library,CS_lab_10_behind_CH,CS_lab_1_near_bank,CS_lab_3_near_bank,CS_lab_4_near_bank,CS_Lab_5_near_bank,RVU305,CE_304
,12:30-1:30,CS_Lab_7_library,CS_Lab_8_library,CS_lab_10_behind_CH,CS_lab_1_near_bank,CS_lab_3_near_bank,CS_lab_4_near_bank,CS_Lab_5_near_bank,RVU301,RVU305,CE_304,RVU102,RVU103
,2:30-3:30,CS_Lab_7_library,CS_Lab_8_library,CS_lab_10_behind_CH,CS_lab_9_behind_CH,CS_lab_2_near_bank,CS_lab_3_near_bank,CS_lab_4_near_bank,RVU301,RVU302,RVU303,RVU304,RVU101,RVU305,CE_304,RVU102,RVU103
,3:30-4:30,CS_Lab_7_library,CS_Lab_8_library,CS_lab_10_behind_CH,CS_lab_9_behind_CH,CS_lab_2_near_bank,CS_lab_3_near_bank,CS_lab_4_near_bank,RVU301,RVU302,RVU303,RVU304,RVU101,RVU305,CE_304,RVU102,RVU103
Saturday,9:00-10:00,CS_Lab_7_library,CS_Lab_8_library,CS_lab_10_behind_CH,CS_lab_9_behind_CH,CS_lab_1_near_bank,CS_lab_2_near_bank,CS_lab_3_near_bank,CS_lab_4_near_bank,CS_Lab_5_near_bank,CS_Lab_6_near_bank,RVU301,RVU302,RVU303,RVU304,RVU101,RVU305,CE_304,RVU102,RVU103
,10:00-11:00,CS_Lab_7_library,CS_Lab_8_library,CS_lab_10_behind_CH,CS_lab_9_behind_CH,CS_lab_1_near_bank,CS_lab_2_near_bank,CS_lab_3_near_bank,CS_lab_4_near_bank,CS_Lab_5_near_bank,CS_Lab_6_near_bank,RVU301,RVU302,RVU303,RVU304,RVU101,RVU305,CE_304,RVU102,RVU103
,11:30-12:30,CS_Lab_7_library,CS_Lab_8_library,CS_lab_10_behind_CH,CS_lab_9_behind_CH,CS_lab_1_near_bank,CS_lab_2_near_bank,CS_lab_3_near_bank,CS_lab_4_near_bank,CS_Lab_5_near_bank,CS_Lab_6_near_bank,RVU301,RVU302,RVU303,RVU304,RVU101,RVU305,CE_304,RVU102,RVU103
,12:30-1:30,CS_Lab_7_library,CS_Lab_8_library,CS_lab_10_behind_CH,CS_lab_9_behind_CH,CS_lab_1_near_bank,CS_lab_2_near_bank,CS_lab_3_near_bank,CS_lab_4_near_bank,CS_Lab_5_near_bank,CS_Lab_6_near_bank,RVU301,RVU302,RVU303,RVU304,RVU101,RVU305,CE_304,RVU102,RVU103
,2:30-3:30,CS_Lab_7_library,CS_Lab_8_library,CS_lab_10_behind_CH,CS_lab_9_behind_CH,CS_lab_1_near_bank,CS_lab_2_near_bank,CS_lab_3_near_bank,CS_lab_4_near_bank,CS_Lab_5_near_bank,CS_Lab_6_near_bank,RVU301,RVU302,RVU303,RVU304,RVU101,RVU305,CE_304,RVU102,RVU103
,3:30-4:30,CS_Lab_7_library,CS_Lab_8_library,CS_lab_10_behind_CH,CS_lab_9_behind_CH,CS_lab_1_near_bank,CS_lab_2_near_bank,CS_lab_3_near_bank,CS_lab_4_near_bank,CS_Lab_5_near_bank,CS_Lab_6_near_bank,RVU301,RVU302,RVU303,RVU304,RVU101,RVU305,CE_304,RVU102,RVU103
